,t_ts,tau_fb_ts_1,tau_fb_ts_2,tau_ts_1,tau_ts_2,th_d_ts_1,th_d_ts_2,th_dd_ts_1,th_dd_ts_2,th_ts_1,th_ts_2,th_ts_2_rel,th_d_ts_2_rel
76,0.75,0.0,0.0,0.0,0.0,-0.18732643299475316,-0.3005051944962603,0.2542590188954909,-0.9021868087525966,-1.5891890371949604,-1.5156968217537643,0.07349221544119611,-0.11317876150150713
77,0.76,0.0,0.0,0.0,0.0,-0.18473692761970142,-0.3094790981048814,0.26357852664311954,-0.892359080132216,-1.591049431656193,-1.518746825117014,0.07230260653917897,-0.12474217048517997
78,0.77,0.0,0.0,0.0,0.0,-0.1820561437994349,-0.31834767631177435,0.2725136802058586,-0.8811215942067998,-1.592883471468893,-1.5218860526358196,0.07099741883307353,-0.13629153251233944
79,0.78,0.0,0.0,0.0,0.0,-0.17928795499858055,-0.32709683098200665,0.28105858659000493,-0.8684745860128295,-1.594690263166828,-1.525113380563522,0.06957688260330609,-0.1478088759834261
80,0.79,0.0,0.0,0.0,0.0,-0.17643629084228535,-0.33571247678357574,0.2892079088940658,-0.8544203839141845,-1.5964689523038478,-1.5284275442186852,0.06804140808516257,-0.1592761859412904
81,0.8,0.0,0.0,0.0,0.0,-0.17350513148898633,-0.3441805622039018,0.29695687957142947,-0.8389634261193437,-1.5982187239874641,-1.5318271382180704,0.06639158576939375,-0.17067543071491548
82,0.81,0.0,0.0,0.0,0.0,-0.17049850187069918,-0.3524870907274233,0.3043013136458044,-0.8221102763565188,-1.599938803355495,-1.5353106169205875,0.06462818643490766,-0.18198858885672412
83,0.8200000000000001,0.0,0.0,0.0,0.0,-0.1674204658018673,-0.3606181421649574,0.3112376217630997,-0.8038696385163564,-1.6016284559944545,-1.5388762950837902,0.06275216091066427,-0.1931976763630901
84,0.8300000000000001,0.0,0.0,0.0,0.0,-0.16427511995904806,-0.36855989412338164,0.3177628229492445,-0.7842523700318378,-1.60328698829838,-1.5425223487343764,0.060764639564003575,-0.20428477416433358
85,0.84,0.0,0.0,0.0,0.0,-0.16106658773508364,-0.3762986436016973,0.32387455693047296,-0.7632714937269571,-1.604913747766828,-1.5462468162540313,0.05866693151279678,-0.21523205586661365
86,0.85,0.0,0.0,0.0,0.0,-0.1577990129728987,-0.3838208286966719,0.32957109586099054,-0.7409422078303635,-1.6065081232408038,-1.5500475996817924,0.05646052355901143,-0.2260218157237732
87,0.86,0.0,0.0,0.0,0.0,-0.15447655358566867,-0.391113050398054,0.3348513552929276,-0.7172818938178566,-1.608069545075454,-1.5539224662339388,0.05414707884151526,-0.23663649681238533
88,0.87,0.0,0.0,0.0,0.0,-0.15110337507179558,-0.3981620944498515,0.3397149042154094,-0.692310121719556,-1.6095974852484274,-1.5578690500421826,0.051728435206244816,-0.24705871937805593
89,0.88,0.0,0.0,0.0,0.0,-0.14768364393489253,-0.4049549532503971,0.3441619739835369,-0.6660486525039803,-1.6110914574029023,-1.561884854110692,0.04920660329221027,-0.25727130931550457
