,t_ts,tau_fb_ts_1,tau_fb_ts_2,tau_ts_1,tau_ts_2,th_d_ts_1,th_d_ts_2,th_dd_ts_1,th_dd_ts_2,th_ts_1,th_ts_2,ref_th_d_1,ref_th_d_2,ref_th_1,ref_th_2,th_ts_2_rel,th_d_ts_2_rel
900,8.99,-63.74942234580108,-4.362577972284076,127.26838689678526,-8.693096220891317,1.1286162090605651,2.2038814427067996,-2.477247639867705,-2.304623627570478,0.520589337139723,-1.6797873805911512,1.2202683362214377,2.2965930617878216,13.050502633967952,10.847891652654928,-2.200376717730874,1.0752652336462345
901,9.0,-61.29312540762473,-4.386672541189718,128.494487731465,-8.050305786016855,1.1039809456806027,2.179922582902803,-2.393849090068187,-2.247471186385287,0.5317520913935918,-1.6578668454387278,1.2012990336500122,2.27791695591111,13.062610238650482,10.870764151295623,-2.1896189368323196,1.0759416372222002
902,9.01,-58.784415580416315,-4.415039713395497,129.76495606191273,-7.415329835637177,1.0801807410267672,2.156552026772367,-2.3096167230524625,-2.189434849384854,0.5426726666144872,-1.6361829851845031,1.1826111493435802,2.2593058846038323,13.074529552767611,10.89345020863619,-2.1788556517989903,1.0763712857455998
903,9.02,-56.234678592771985,-4.447012614576029,131.06955114299862,-6.78786518611758,1.057223709151104,2.1337782161764665,-2.224887229242405,-2.130815603021385,0.5533594543277948,-1.6147298739171068,1.1642099506023598,2.240765986754351,13.086263417318019,10.915950506309498,-2.1680893282449016,1.0765545070253624
904,9.03,-53.6550511694837,-4.481961691610592,132.39821833426646,-6.1676279068056745,1.035114624024003,2.1116065559163855,-2.1399843929614986,-2.0719045029930916,0.5638209104543725,-1.5935015164481148,1.1461001455872153,2.22230270866002,13.097814723150643,10.93826578384333,-2.1573224269024873,1.0764919318923825
905,9.040000000000001,-51.05637602702395,-4.519300578309693,133.74113563152335,-5.5543595942576705,1.0138550479621047,2.090039521087375,-2.0552181363996826,-2.01298211755626,0.574065522552979,-1.5724918781591346,1.1282859152579185,2.20392084066236,13.10918640553385,10.960396831918622,-2.1465574007121138,1.0761844731252703
906,9.05,-48.449159951856416,-4.55849096668135,135.08875717828292,-4.947832669243146,0.993443469467099,2.0690767693335026,-1.9708836602656727,-1.954317995059545,0.5841017783942681,-1.5516949137497567,1.110770944243806,2.1856245525749323,13.120381439038677,10.982344485988076,-2.135796692144025,1.0756332998664035
907,9.06,-45.843535069584384,-4.599046469874257,136.4318536360939,-4.347854679134665,0.9738754495222979,2.0487152577270304,-1.887260681699617,-1.8961701551780703,0.5939381359557081,-1.5311045948386313,1.09355845061758,2.167417427885058,13.131402832725325,11.004109620242911,-2.1250427307943394,1.0748398082047326
908,9.07,-43.24922339269117,-4.640535478763375,137.76154931416434,-3.7542716044212763,0.9551437753887848,2.028949364015172,-1.8046127697599195,-1.8387846041994216,0.6035829949171289,-1.510714936372756,1.0766512145516642,2.1493024967196024,13.142253625621812,11.025693141915468,-2.114297931289885,1.0738055886263873
909,9.08,-40.67550471507903,-4.68258302917528,139.06935597931664,-3.1669701834096005,0.9372386209400022,2.009771011986611,-1.7231867785320618,-1.7823948755495873,0.6130446697271198,-1.490520021802468,1.060051605844322,2.1312822675730705,13.152936882483537,11.047095985905255,-2.103564691529588,1.0725323910466087
910,9.09,-38.13118790140287,-4.724871710894818,140.34720328852592,-2.5858792835958924,0.9201477125733848,1.9911698007104541,-1.6432123775960172,-1.7272215975202112,0.6223313643007926,-1.470514026982214,1.043761610309654,2.1133587578036273,13.16345568982245,11.068319109716152,-2.0928453912830065,1.0710220881370693
911,9.1,-35.62458560011811,-4.767141662284113,141.587465806352,-2.010970361149753,0.9038564997402244,1.9731331373915115,-1.564901679270862,-1.6734720907863385,0.6314511483998805,-1.4506912427596785,1.0277828550317898,2.095533522908898,13.173813152194416,11.089363488692424,-2.082142391159559,1.0692766376512872
912,9.11,-33.16349238967845,-4.80918970573101,142.78298658995377,-1.442257061579841,0.8883483291405766,1.9556463735694314,-1.4884489616954675,-1.6213399988224724,0.6404119357365601,-1.431046096218513,1.0121166324888846,2.077807684598978,13.184012388733478,11.110230111541478,-2.071458031955073,1.067298044428855
913,9.120000000000001,-30.755166348864204,-4.850867688890226,143.92709734369475,-0.8797940246336307,0.8736046216390784,1.9386929443662992,-1.414030486437608,-1.5710049546977862,0.6492214638329065,-1.4115731705427632,0.996763923557225,2.0601819576888034,13.19405652992174,11.130919976131407,-2.06079463437567,1.0650883227272208
914,9.13,-28.406314023847358,-4.8920801049762375,145.013635164513,-0.32367496499436843,0.8596050509701576,1.922254510459278,-1.341804408932248,-1.52263228800957,0.657887275658497,-1.3922672234742017,0.9817254194097459,2.0426566758361635,13.203948714583767,11.151434085551715,-2.0501544991326988,1.0626494594891205
915,9.14,-26.123078747397766,-4.932781072039827,146.03695591718616,0.22596989278054114,0.8463277233174505,1.9063111024225723,-1.2719107796614697,-1.4763727758851433,0.6664167030594803,-1.3731232043371304,0.9670015423268116,2.0252318161551934,13.213692087094486,11.171773444425693,-2.0395399073966107,1.0599833791051219
916,9.15,-23.91103224854335,-4.972970755602435,146.99194429639095,0.768976942012416,0.8337493568725113,1.890841267047801,-1.204471633563372,-1.432362441834973,0.6748168519833437,-1.3541362696090702,0.9525924654398199,2.007907022737969,13.22328979478988,11.191939055463521,-2.028953121592414,1.0570919101752896
917,9.16,-21.775169475414515,-5.012691322808682,147.87402064869673,1.30515279730911,0.8218454605021492,1.8758222152166288,-1.139591164773885,-1.3907224062936592,0.6830945894948033,-1.3353017970197034,0.9384981314308118,1.990681629119351,13.232744985569836,11.211931916245222,-2.0183963865145067,1.0539767547144796
918,9.17,-19.719906538754806,-5.052022517377175,148.6791446434547,1.8342782853169517,0.8105905106819139,1.8612299708626685,-1.0773559833850397,-1.3515587922804926,0.6912565325696707,-1.3166153981649846,0.9247182702130887,1.9735546797221093,13.242060805682907,11.23175301622315,-2.0078719307346553,1.0506394601807547
919,9.18,-17.749081669793576,-5.091076944862638,149.4038158958879,2.356112734120809,0.799958125885511,1.847039520525668,-1.0178354505220415,-1.314962689309997,0.6993090386452957,-1.2980729296280953,0.9112524156194988,1.956524950320937,13.251240397682873,11.251403333933986,-1.997381968273391,1.047081394640157
920,9.19,-15.865959073135116,-5.129995156187328,150.04507165921544,2.8703984740189528,0.7899212376560192,1.8332249629690214,-0.9610820876596596,-1.281010178169071,0.707258197898255,-1.279670502604056,0.8980999211262076,1.9395909675650214,13.260286898547351,11.270883834410656,-1.986928700502311,1.0433037253130022
921,9.200000000000001,-14.073235543720841,-5.168940614811879,150.60048171470734,3.3768654648585503,0.7804522576246674,1.8197596583038873,-0.9071320557530915,-1.249762418674635,0.7151098272124261,-1.2614044910302238,0.8852599746407753,1.9227510275998392,13.269203437948933,11.290195466784885,-1.97651431824265,1.03930740067922
